id,siret,date_publi,date_disso,nom_asso,nom_asso_abrege,objet_social1,objet_social2,adresse,codepostal,commune,siteweb,autorisation_web,etat
W372019617,,2023-05-02,,CHABABI ORLÉANS-TOURS,C.O.T.,015065,000000,Apparemment 336 Residence les Garennes 8  RUE Gaspard Coriolis  ,37200,TOURS,,0,A
W372019618,,2023-05-02,,MAXILOUP,MAXILOUP,021005,000000,7  RUE de la Bergerie  ,37270,LARÇAY,,0,A
W372019619,,2023-05-02,,JOURNÉE NATIONALE DE LA SURDICÉCITÉ,JNSC,014070,000000,"665  AV de Chandon, la Closerie de Chandon  ",37400,AMBOISE,,0,A
W372019620,,2023-05-09,,RÉSEAU DES JEUNES BÉNINOIS POUR LE DÉVELOPPEMENT (R.J.B.D.),R.J.B.D.,020015,000000,44  AV Proudhon  ,37000,TOURS,,1,A
W372019621,,2023-05-02,,RE-JOUEZ LE JEU !,RE-JOUEZ LE JEU !,007005,000000,1  RUE du Paradis  ,37510,SAVONNIÈRES,,0,A
W372019622,,2023-05-09,,FLEURS DE CHENIN,FLEURS DE CHENIN,014050,000000,34  RUE de Sanzelle  ,37210,Vouvray,,1,A
W372019623,,2023-05-09,,L'ATELIER DES CRÉATEURS 37,L'ATELIER DES CRÉATEURS 37,050000,000000,46  AV Victor Laloux  ,37270,Montlouis-sur-Loire,,1,A
W372019624,,2023-05-09,,L'AUBERGE DES ILLUSTRATEURS,L'AUBERGE DES ILLUSTRATEURS,006100,000000,34  RUE Christophe Colomb  ,37000,TOURS,,0,A
W372019625,,2023-05-09,,DIRTY CREW,DIRTY CREW,006100,000000,10  RUE de la Tour de Guise  ,37000,TOURS,,0,A
W372019626,,2023-05-09,,ENSEMBLE POUR LARICHE,ENSEMBLE POUR LARICHE,002010,000000,5 Bis  RUE Louis Niqueux  ,37520,LA RICHE,,0,A
W372019627,,2023-05-09,,ASSOCIATION DES PARENTS D'ÉLÈVES DE L'ÉCOLE ÉLÉMENTAIRE DU MORIER (APE ÉCOLE DU MORIER),APE ÉCOLE DU MORIER,015005,000000,5  RUE Berlioz  ,37300,Joué-lès-Tours,,1,A
